row_index,pais,model,judge_label,judge_prompt_version,judge_run_id
0,argentina,GPT,parcial,v2_fixed_system_prompt,3
1,argentina,GPT,alucinacion,v2_fixed_system_prompt,3
2,argentina,GPT,alucinacion,v2_fixed_system_prompt,3
3,argentina,GPT,parcial,v2_fixed_system_prompt,3
4,argentina,GPT,correcta,v2_fixed_system_prompt,3
5,argentina,GPT,parcial,v2_fixed_system_prompt,3
6,argentina,GPT,parcial,v2_fixed_system_prompt,3
7,argentina,GPT,correcta,v2_fixed_system_prompt,3
8,argentina,GPT,alucinacion,v2_fixed_system_prompt,3
9,argentina,GPT,alucinacion,v2_fixed_system_prompt,3
10,argentina,GPT,parcial,v2_fixed_system_prompt,3
11,argentina,GPT,alucinacion,v2_fixed_system_prompt,3
12,argentina,GPT,alucinacion,v2_fixed_system_prompt,3
13,argentina,GPT,alucinacion,v2_fixed_system_prompt,3
14,argentina,GPT,alucinacion,v2_fixed_system_prompt,3
15,bolivia,GPT,parcial,v2_fixed_system_prompt,3
16,bolivia,GPT,correcta,v2_fixed_system_prompt,3
17,bolivia,GPT,parcial,v2_fixed_system_prompt,3
18,bolivia,GPT,parcial,v2_fixed_system_prompt,3
19,bolivia,GPT,parcial,v2_fixed_system_prompt,3
20,bolivia,GPT,alucinacion,v2_fixed_system_prompt,3
21,bolivia,GPT,parcial,v2_fixed_system_prompt,3
22,bolivia,GPT,correcta,v2_fixed_system_prompt,3
23,bolivia,GPT,alucinacion,v2_fixed_system_prompt,3
24,bolivia,GPT,alucinacion,v2_fixed_system_prompt,3
25,bolivia,GPT,abstencion,v2_fixed_system_prompt,3
26,bolivia,GPT,alucinacion,v2_fixed_system_prompt,3
27,bolivia,GPT,parcial,v2_fixed_system_prompt,3
28,bolivia,GPT,parcial,v2_fixed_system_prompt,3
29,bolivia,GPT,parcial,v2_fixed_system_prompt,3
30,chile,GPT,parcial,v2_fixed_system_prompt,3
31,chile,GPT,alucinacion,v2_fixed_system_prompt,3
32,chile,GPT,parcial,v2_fixed_system_prompt,3
33,chile,GPT,parcial,v2_fixed_system_prompt,3
34,chile,GPT,parcial,v2_fixed_system_prompt,3
35,chile,GPT,parcial,v2_fixed_system_prompt,3
36,chile,GPT,parcial,v2_fixed_system_prompt,3
37,chile,GPT,parcial,v2_fixed_system_prompt,3
38,chile,GPT,correcta,v2_fixed_system_prompt,3
39,chile,GPT,parcial,v2_fixed_system_prompt,3
40,chile,GPT,correcta,v2_fixed_system_prompt,3
41,chile,GPT,alucinacion,v2_fixed_system_prompt,3
42,chile,GPT,parcial,v2_fixed_system_prompt,3
43,chile,GPT,alucinacion,v2_fixed_system_prompt,3
44,chile,GPT,alucinacion,v2_fixed_system_prompt,3
45,colombia,GPT,parcial,v2_fixed_system_prompt,3
46,colombia,GPT,parcial,v2_fixed_system_prompt,3
47,colombia,GPT,alucinacion,v2_fixed_system_prompt,3
48,colombia,GPT,parcial,v2_fixed_system_prompt,3
49,colombia,GPT,correcta,v2_fixed_system_prompt,3
50,colombia,GPT,parcial,v2_fixed_system_prompt,3
51,colombia,GPT,parcial,v2_fixed_system_prompt,3
52,colombia,GPT,correcta,v2_fixed_system_prompt,3
53,colombia,GPT,correcta,v2_fixed_system_prompt,3
54,colombia,GPT,alucinacion,v2_fixed_system_prompt,3
55,colombia,GPT,alucinacion,v2_fixed_system_prompt,3
56,colombia,GPT,alucinacion,v2_fixed_system_prompt,3
57,colombia,GPT,alucinacion,v2_fixed_system_prompt,3
58,colombia,GPT,correcta,v2_fixed_system_prompt,3
59,colombia,GPT,alucinacion,v2_fixed_system_prompt,3
60,costa rica,GPT,parcial,v2_fixed_system_prompt,3
61,costa rica,GPT,correcta,v2_fixed_system_prompt,3
62,costa rica,GPT,parcial,v2_fixed_system_prompt,3
63,costa rica,GPT,correcta,v2_fixed_system_prompt,3
64,costa rica,GPT,alucinacion,v2_fixed_system_prompt,3
65,costa rica,GPT,alucinacion,v2_fixed_system_prompt,3
66,costa rica,GPT,parcial,v2_fixed_system_prompt,3
67,costa rica,GPT,correcta,v2_fixed_system_prompt,3
68,costa rica,GPT,parcial,v2_fixed_system_prompt,3
69,costa rica,GPT,correcta,v2_fixed_system_prompt,3
70,costa rica,GPT,parcial,v2_fixed_system_prompt,3
71,costa rica,GPT,alucinacion,v2_fixed_system_prompt,3
72,costa rica,GPT,alucinacion,v2_fixed_system_prompt,3
73,costa rica,GPT,parcial,v2_fixed_system_prompt,3
74,costa rica,GPT,alucinacion,v2_fixed_system_prompt,3
75,cuba,GPT,alucinacion,v2_fixed_system_prompt,3
76,cuba,GPT,alucinacion,v2_fixed_system_prompt,3
77,cuba,GPT,correcta,v2_fixed_system_prompt,3
78,cuba,GPT,parcial,v2_fixed_system_prompt,3
79,cuba,GPT,correcta,v2_fixed_system_prompt,3
80,cuba,GPT,alucinacion,v2_fixed_system_prompt,3
81,cuba,GPT,alucinacion,v2_fixed_system_prompt,3
82,cuba,GPT,correcta,v2_fixed_system_prompt,3
83,cuba,GPT,parcial,v2_fixed_system_prompt,3
84,cuba,GPT,correcta,v2_fixed_system_prompt,3
85,cuba,GPT,correcta,v2_fixed_system_prompt,3
86,cuba,GPT,alucinacion,v2_fixed_system_prompt,3
87,cuba,GPT,parcial,v2_fixed_system_prompt,3
88,cuba,GPT,correcta,v2_fixed_system_prompt,3
89,cuba,GPT,correcta,v2_fixed_system_prompt,3
90,ecuador,GPT,parcial,v2_fixed_system_prompt,3
91,ecuador,GPT,parcial,v2_fixed_system_prompt,3
92,ecuador,GPT,parcial,v2_fixed_system_prompt,3
93,ecuador,GPT,parcial,v2_fixed_system_prompt,3
94,ecuador,GPT,correcta,v2_fixed_system_prompt,3
95,ecuador,GPT,parcial,v2_fixed_system_prompt,3
96,ecuador,GPT,alucinacion,v2_fixed_system_prompt,3
97,ecuador,GPT,alucinacion,v2_fixed_system_prompt,3
98,ecuador,GPT,correcta,v2_fixed_system_prompt,3
99,ecuador,GPT,parcial,v2_fixed_system_prompt,3
100,ecuador,GPT,alucinacion,v2_fixed_system_prompt,3
101,ecuador,GPT,correcta,v2_fixed_system_prompt,3
102,ecuador,GPT,parcial,v2_fixed_system_prompt,3
103,ecuador,GPT,parcial,v2_fixed_system_prompt,3
104,ecuador,GPT,parcial,v2_fixed_system_prompt,3
105,el salvador,GPT,parcial,v2_fixed_system_prompt,3
106,el salvador,GPT,parcial,v2_fixed_system_prompt,3
107,el salvador,GPT,parcial,v2_fixed_system_prompt,3
108,el salvador,GPT,parcial,v2_fixed_system_prompt,3
109,el salvador,GPT,correcta,v2_fixed_system_prompt,3
110,el salvador,GPT,parcial,v2_fixed_system_prompt,3
111,el salvador,GPT,parcial,v2_fixed_system_prompt,3
112,el salvador,GPT,correcta,v2_fixed_system_prompt,3
113,el salvador,GPT,parcial,v2_fixed_system_prompt,3
114,el salvador,GPT,alucinacion,v2_fixed_system_prompt,3
115,el salvador,GPT,parcial,v2_fixed_system_prompt,3
116,el salvador,GPT,alucinacion,v2_fixed_system_prompt,3
117,el salvador,GPT,parcial,v2_fixed_system_prompt,3
118,el salvador,GPT,correcta,v2_fixed_system_prompt,3
119,el salvador,GPT,parcial,v2_fixed_system_prompt,3
120,guatemala,GPT,correcta,v2_fixed_system_prompt,3
121,guatemala,GPT,alucinacion,v2_fixed_system_prompt,3
122,guatemala,GPT,alucinacion,v2_fixed_system_prompt,3
123,guatemala,GPT,alucinacion,v2_fixed_system_prompt,3
124,guatemala,GPT,correcta,v2_fixed_system_prompt,3
125,guatemala,GPT,alucinacion,v2_fixed_system_prompt,3
126,guatemala,GPT,alucinacion,v2_fixed_system_prompt,3
127,guatemala,GPT,correcta,v2_fixed_system_prompt,3
128,guatemala,GPT,alucinacion,v2_fixed_system_prompt,3
129,guatemala,GPT,parcial,v2_fixed_system_prompt,3
130,guatemala,GPT,alucinacion,v2_fixed_system_prompt,3
131,guatemala,GPT,parcial,v2_fixed_system_prompt,3
132,guatemala,GPT,parcial,v2_fixed_system_prompt,3
133,guatemala,GPT,parcial,v2_fixed_system_prompt,3
134,guatemala,GPT,parcial,v2_fixed_system_prompt,3
135,honduras,GPT,parcial,v2_fixed_system_prompt,3
136,honduras,GPT,alucinacion,v2_fixed_system_prompt,3
137,honduras,GPT,parcial,v2_fixed_system_prompt,3
138,honduras,GPT,parcial,v2_fixed_system_prompt,3
139,honduras,GPT,correcta,v2_fixed_system_prompt,3
140,honduras,GPT,parcial,v2_fixed_system_prompt,3
141,honduras,GPT,alucinacion,v2_fixed_system_prompt,3
142,honduras,GPT,parcial,v2_fixed_system_prompt,3
143,honduras,GPT,alucinacion,v2_fixed_system_prompt,3
144,honduras,GPT,alucinacion,v2_fixed_system_prompt,3
145,honduras,GPT,correcta,v2_fixed_system_prompt,3
