row_index,pais,model,judge_label,judge_prompt_version,judge_run_id
0,argentina,GPT,parcial,v2_fixed_system_prompt,1
1,argentina,GPT,alucinacion,v2_fixed_system_prompt,1
2,argentina,GPT,alucinacion,v2_fixed_system_prompt,1
3,argentina,GPT,parcial,v2_fixed_system_prompt,1
4,argentina,GPT,correcta,v2_fixed_system_prompt,1
5,argentina,GPT,parcial,v2_fixed_system_prompt,1
6,argentina,GPT,parcial,v2_fixed_system_prompt,1
7,argentina,GPT,correcta,v2_fixed_system_prompt,1
8,argentina,GPT,alucinacion,v2_fixed_system_prompt,1
9,argentina,GPT,alucinacion,v2_fixed_system_prompt,1
10,argentina,GPT,parcial,v2_fixed_system_prompt,1
11,argentina,GPT,alucinacion,v2_fixed_system_prompt,1
12,argentina,GPT,alucinacion,v2_fixed_system_prompt,1
13,argentina,GPT,alucinacion,v2_fixed_system_prompt,1
14,argentina,GPT,alucinacion,v2_fixed_system_prompt,1
15,bolivia,GPT,parcial,v2_fixed_system_prompt,1
16,bolivia,GPT,correcta,v2_fixed_system_prompt,1
17,bolivia,GPT,parcial,v2_fixed_system_prompt,1
18,bolivia,GPT,parcial,v2_fixed_system_prompt,1
19,bolivia,GPT,parcial,v2_fixed_system_prompt,1
20,bolivia,GPT,alucinacion,v2_fixed_system_prompt,1
21,bolivia,GPT,parcial,v2_fixed_system_prompt,1
22,bolivia,GPT,correcta,v2_fixed_system_prompt,1
23,bolivia,GPT,alucinacion,v2_fixed_system_prompt,1
24,bolivia,GPT,alucinacion,v2_fixed_system_prompt,1
25,bolivia,GPT,abstencion,v2_fixed_system_prompt,1
26,bolivia,GPT,alucinacion,v2_fixed_system_prompt,1
27,bolivia,GPT,parcial,v2_fixed_system_prompt,1
28,bolivia,GPT,parcial,v2_fixed_system_prompt,1
29,bolivia,GPT,parcial,v2_fixed_system_prompt,1
30,chile,GPT,parcial,v2_fixed_system_prompt,1
31,chile,GPT,alucinacion,v2_fixed_system_prompt,1
32,chile,GPT,parcial,v2_fixed_system_prompt,1
33,chile,GPT,parcial,v2_fixed_system_prompt,1
34,chile,GPT,parcial,v2_fixed_system_prompt,1
35,chile,GPT,parcial,v2_fixed_system_prompt,1
36,chile,GPT,parcial,v2_fixed_system_prompt,1
37,chile,GPT,parcial,v2_fixed_system_prompt,1
38,chile,GPT,correcta,v2_fixed_system_prompt,1
39,chile,GPT,parcial,v2_fixed_system_prompt,1
40,chile,GPT,correcta,v2_fixed_system_prompt,1
41,chile,GPT,alucinacion,v2_fixed_system_prompt,1
42,chile,GPT,parcial,v2_fixed_system_prompt,1
43,chile,GPT,alucinacion,v2_fixed_system_prompt,1
44,chile,GPT,alucinacion,v2_fixed_system_prompt,1
45,colombia,GPT,parcial,v2_fixed_system_prompt,1
46,colombia,GPT,parcial,v2_fixed_system_prompt,1
47,colombia,GPT,alucinacion,v2_fixed_system_prompt,1
48,colombia,GPT,parcial,v2_fixed_system_prompt,1
49,colombia,GPT,correcta,v2_fixed_system_prompt,1
50,colombia,GPT,parcial,v2_fixed_system_prompt,1
51,colombia,GPT,parcial,v2_fixed_system_prompt,1
52,colombia,GPT,correcta,v2_fixed_system_prompt,1
53,colombia,GPT,correcta,v2_fixed_system_prompt,1
54,colombia,GPT,alucinacion,v2_fixed_system_prompt,1
55,colombia,GPT,alucinacion,v2_fixed_system_prompt,1
56,colombia,GPT,alucinacion,v2_fixed_system_prompt,1
57,colombia,GPT,alucinacion,v2_fixed_system_prompt,1
58,colombia,GPT,correcta,v2_fixed_system_prompt,1
59,colombia,GPT,alucinacion,v2_fixed_system_prompt,1
60,costa rica,GPT,parcial,v2_fixed_system_prompt,1
61,costa rica,GPT,correcta,v2_fixed_system_prompt,1
62,costa rica,GPT,parcial,v2_fixed_system_prompt,1
63,costa rica,GPT,correcta,v2_fixed_system_prompt,1
64,costa rica,GPT,alucinacion,v2_fixed_system_prompt,1
65,costa rica,GPT,alucinacion,v2_fixed_system_prompt,1
66,costa rica,GPT,parcial,v2_fixed_system_prompt,1
67,costa rica,GPT,correcta,v2_fixed_system_prompt,1
68,costa rica,GPT,parcial,v2_fixed_system_prompt,1
69,costa rica,GPT,correcta,v2_fixed_system_prompt,1
70,costa rica,GPT,parcial,v2_fixed_system_prompt,1
71,costa rica,GPT,alucinacion,v2_fixed_system_prompt,1
72,costa rica,GPT,alucinacion,v2_fixed_system_prompt,1
73,costa rica,GPT,parcial,v2_fixed_system_prompt,1
74,costa rica,GPT,alucinacion,v2_fixed_system_prompt,1
75,cuba,GPT,alucinacion,v2_fixed_system_prompt,1
76,cuba,GPT,alucinacion,v2_fixed_system_prompt,1
77,cuba,GPT,correcta,v2_fixed_system_prompt,1
78,cuba,GPT,parcial,v2_fixed_system_prompt,1
79,cuba,GPT,correcta,v2_fixed_system_prompt,1
80,cuba,GPT,alucinacion,v2_fixed_system_prompt,1
81,cuba,GPT,alucinacion,v2_fixed_system_prompt,1
82,cuba,GPT,correcta,v2_fixed_system_prompt,1
83,cuba,GPT,parcial,v2_fixed_system_prompt,1
84,cuba,GPT,correcta,v2_fixed_system_prompt,1
85,cuba,GPT,correcta,v2_fixed_system_prompt,1
86,cuba,GPT,alucinacion,v2_fixed_system_prompt,1
87,cuba,GPT,parcial,v2_fixed_system_prompt,1
88,cuba,GPT,correcta,v2_fixed_system_prompt,1
89,cuba,GPT,correcta,v2_fixed_system_prompt,1
90,ecuador,GPT,parcial,v2_fixed_system_prompt,1
91,ecuador,GPT,parcial,v2_fixed_system_prompt,1
92,ecuador,GPT,parcial,v2_fixed_system_prompt,1
93,ecuador,GPT,parcial,v2_fixed_system_prompt,1
94,ecuador,GPT,correcta,v2_fixed_system_prompt,1
95,ecuador,GPT,parcial,v2_fixed_system_prompt,1
96,ecuador,GPT,alucinacion,v2_fixed_system_prompt,1
97,ecuador,GPT,alucinacion,v2_fixed_system_prompt,1
98,ecuador,GPT,correcta,v2_fixed_system_prompt,1
99,ecuador,GPT,parcial,v2_fixed_system_prompt,1
